name,developer,short_description,stars,verified_creator,categories
pr label by files changed,tdak1509,add pr label based on number of files changed,0.0,False,code review;monitoring
pull request milestone,iyu,add milestone to prs,5.0,False,project management;code review
merge pal,maxkomarychev,automatically merge pr once it is ready,26.0,False,code review;project management
dupicate-line remover action,maharishi1,removing the duplicate line in the given folder and uploads them to arifacts,2.0,False,monitoring;code review
pr label by files,decathlon,label a pull request based on pushed files,63.0,False,project management;code review
changelog tool,rcmachado,manipulate changelog files that follows keepachangelog com format,1.0,False,publishing;code review
tweet for code review,obasekietinosa,automatically tweets prs  commits or repos asking for code reviews,1.0,False,code review;publishing
assign size label,pascalgn,assign labels based on pull request change sizes,34.0,False,code review;support
selene-linter,ntbbloodbath,github action to run selene  a blazing fast modern lua linter written in rust,0.0,False,code review;utilities
autocheck javascript tests by testomatio,testomatio,check new or removed tests on each pull requests  list all tests before running them,10.0,False,testing;code review
assign reviewers by day,masakinpo,add reviewers to pull requests for each day of the week,1.0,False,code review;support
issue / pull request body regex validator,fabiankoestring,this action checks issue and pr descriptions against an regular expression,10.0,False,code review;utilities
pr branch labeler,ffittschen,automatically label your prs based on their branches,10.0,False,code review;utilities
check feedback,augustjon,check that the feedback lives up to certain requirements,0.0,False,code review;support
validate homey app,aivus,validate homey application against publish level,3.0,False,code review;testing
json-syntax-check,limitusus,simply check json syntax,2.0,False,code review;testing
test remove labels,devlinjunker,remove labels to an issue or a pull request,0.0,False,testing;code review
audit live site,daniellop1,run lighthouse ci on actions,1.0,False,testing;code review
jest coverage diff,anuraag016,a github action to comment jest coverage diff on a pr,17.0,False,testing;code review
qr code commenter,kentaro-m,a github action that posts a qr code to a pull request comment,2.0,False,code review;utilities
automatic whitespace linter,hexrabbit,an easy to use command to help developer eliminate trailing whitespace on the fly,2.0,False,utilities;code review
wip blocker,paranoidbeing,blocks prs that are wip,3.0,False,code review;utilities
branch name,alberthernandez,write a comment in the pr if your branch is not following a predefined pattern,4.0,False,code review;utilities
file changes action,trilom,creates outputs variables of files modified  added  or removed by a pr or push,84.0,False,code review;utilities
unity meta files check,dena,check missing dangling meta files,37.0,False,testing;code review
pr size watcher,ookami-kb,checks pr size  adds comment and or fails build if pr is too big,5.0,False,utilities;code review
add pr comment,mshick,add a comment to a pull request,37.0,False,code review;utilities
check args are present tense,nickssmith,checks all python argparse args are present tense,0.0,False,code review;utilities
validate yaml schema,jkarwatka,a github action for checking if yaml files comply with specified schema,1.0,False,utilities;code review
dms-textlint-action,rdohms,proofread any text with textlint  loading any required rulesets on the fly,4.0,False,code review;utilities
barcelona action,code-name-barcelona,collect logged metadata and store it in barcelona,0.0,False,utilities;code review
pr label check and comment,yashhy,checks for required pr label  adds comment and fails pr checks if none of the required labels are provided,6.0,False,code review;utilities
reviewer lottery,uesteibar,automatically assign reviewers to pull requests,15.0,False,code review;utilities
auto assign owner,danielswensson,automatically assigns owner on pr,3.0,False,utilities;code review
jira ticket transitioner,aharooms,this action can update jira issue status by event,5.0,False,code review;utilities
changelog validate,zattoo,detects changes and validates a given changelog,4.0,False,testing;code review
close all pull requests,crondaemon,a github action to automatically close all pull requests,2.0,False,code review;utilities
eslint-remote-tester pr comparator,ariperkkio,run eslint remote tester in comparison mode for pull requests,0.0,False,code review;testing
xcaudit,alexander-ignition,xcode logs formatter for github actions,4.0,False,code review;testing
blinka-reporting,davidwessman,report test results to blinka,0.0,False,testing;code review
coverage report for lcov format,nohmad,comments a pull request with code coverage,1.0,False,code review;testing
jira ticket transitioner action,tuanddd,this action can update jira issue status by event,1.0,False,code review;utilities
npm unused packages checker,amr-reda,check all dependencies are used in the code,4.0,False,code review;utilities
pmd analyzer action,rtjl,annotates violations from pmd analyzer,0.0,False,code review;testing
update pr body,asasinnab,update pr body because pr comments are annoying   ,0.0,False,utilities;code review
lint ren'py project,projectalicedev,lint your project against a specified ren py sdk version,10.0,False,testing;code review
kustomize validate,bigwheel,validate kustomize yaml files by  kustomize build  command,1.0,False,code review;testing
ensure clean jupyter notebooks,researchsoftwareactions,enforce rules on certain cells and metadata in jupyter notebooks,19.0,False,code review;utilities
dwp/aws-terraform-tag-check,dwp,checks given tags are applied to taggable resources,0.0,False,code review;testing
asyncapi-github-action,waleedashraf,github action for asyncapi schema validation,6.0,False,code review;testing
team labeler action,julienkode,add a team label based on the author s team,16.0,False,code review;utilities
ea tester,fx31337,runs mql program,6.0,False,testing;code review
validate json,orrosenblatt,github action  validate json,40.0,False,utilities;code review
approve pull request,juliangruber,a github action for approving pull requests,11.0,False,code review;utilities
elastic-ingest-test,pdreker,tests elasticsearch ingest pipelines against given testcases,0.0,False,testing;code review
regex tester linker,wyozi,find regexps from changed files in pull requests and link to tester,0.0,False,code review;testing
auto-create-pr-action,smartinspereira,auto create a pull request when a new branch is  pushed ,17.0,False,code review;utilities
auto sync reviewers with assignees,rubeus90,synchronize the list of reviewers with the list of assignees on a pr,0.0,False,code review;utilities
add automatic pull request reviewers,buzato,adds reviewer s  to a pull request,0.0,False,code review;utilities
hadenlabs-action-pre-commit,hadenlabs,run pre commit and optionally commit back to the pull request,0.0,False,code review;utilities
add reviewers,madrapps,add reviewers to your pull request,4.0,False,code review;utilities
tfsuit,josdagaro,terraform customizable tool for defining your standards  styles  and naming conventions,5.0,False,utilities;code review
pull request sizer,coverwallet,label a pr based on the amount of changes excluding from the counting some customed files,0.0,False,code review;utilities
simplelabeler,rihurla,automatically applies labels for the pull request states,0.0,False,utilities;code review
commitsar action,aevea,check commit message compliance with conventional commits,93.0,False,code review;utilities
auto approve,hmarr,automatically approve pull requests,208.0,False,code review;utilities
require pull request approvals,manuelmeister,use this instead of the branch protection rules,0.0,False,code review;utilities
helmchart image validator,estherk0,validate image value in helm chart to override correctly or not  work with decapod base yaml,0.0,False,code review;utilities
hasura change summary,fieldguide,generate readable hasura metadata change summaries,7.0,False,code review;utilities
merge or pr,siematypie,merges branch to target branch or creates new branch and follow up pr for conflict resolving,2.0,False,utilities;code review
commit watch,tophat,lint commit messages using commit watch,0.0,False,utilities;code review
publish on imgur,devicons,upload image s  to imgur using their api,5.0,False,code review;utilities
prs size labeler,friendsofgo,sample github action to label a pr based on the amount of changes written in go,0.0,False,code review;utilities
kustomize github action,karancode,github action for kustomize   manily to perform kustomize build for the k8s config yamls,22.0,False,code review;utilities
validate json with glob,nhalstead,github action  validate json,5.0,False,utilities;code review
action-screenshot-diff,ianatha,visual snapshot tester for github actions,1.0,False,code review;utilities
ti-community-rebase,hi-rustin,github action to automatically rebase prs,0.0,False,code review;utilities
pull request name enforcer,derkinderfietsen,github action for enforcing regex matching name on pr,0.0,False,utilities;code review
yaml schema validator,nwisbeta,validate yaml files in a repo according to settings,5.0,False,utilities;code review
pull request size labeler,codelytv,label a pr based on the amount of changes,148.0,False,code review;utilities
softfix-pr,dekvall,helps squashing commits in prs,4.0,False,code review;utilities
automatic revert,srt32,automatically revert a commit on   revert  comment,88.0,False,utilities;code review
automatic rebase,cirrus-actions,automatically rebases pr on   rebase  comment,501.0,False,code review;utilities
pr helper,matticusau,powerful pull request automation   auto labels  comment   review automation  rule based auto merge,8.0,False,utilities;code review
pull request reviews reminder action,davideviolante,automatically send notification for pull requests waiting for reviewers,10.0,False,code review;utilities
pr-sweeper,aidasoft,cheery picks merged prs to selected branches,1.0,False,utilities;code review
orthograph-err,place-labs,automated docs reviewer  robotic grammar enthusiast,5.0,False,code review;utilities
cfn-nag-action,minchao,github action for cfn nag,1.0,False,code review;security
get-pr-commits,tim-actions,a github action that get commits in current pull request,0.0,False,code review;utilities
run tfsec pr commenter,tfsec,runs tfsec and adds comments to the pr where checks have failed,9.0,True,security;code review
brakeman code scanning,standardnotes,a github action to run brakeman  a static analysis security vulnerability scanner for ruby on rails applications,0.0,False,security;code review
powermode-scan,ncino,run static code pattern analysis scan for apex security using pmd,1.0,False,code review;security
cfn_nag_action,brunomoutinho,github action for cfn nag,0.0,False,code review;security
easy detect-secrets,robertfischer,use yelp s detect secrets package to scan your repository for exposed secrets,3.0,False,security;code review
sign off on new commits,artis3n,require all commits to be approved in your pr without wiping past approvals,2.0,False,code review;security
cloudformation-guard-action,digarok,run cfn guard compliance tool against your repository,4.0,False,security;code review
nodejsscan,ajinabraham,njsscan finds insecure code patterns in your node js applications,8.0,False,code review;security
python-bandit with code annotations,ioggstream,github action to find common security issues in python code and get its report as a artifact,3.0,False,security;code review
py3-bandit,libertyy,run bandit  latest  on py3,4.0,False,security;code review
gittyleaks,gupy-io,action to gittyleaks tool prevent to secrets on your repo before merge,0.0,False,code review;security
markdown-safe-link-action,markbattistella,check if the links pass google safe web,1.0,False,security;code review
sast-action,ivankuchin,github action examines c c   source code and reports possible security weaknesses   flaws   sorted by risk level,0.0,False,security;code review
horusec,fike,run horusec sast in your code,8.0,False,security;code review
run detect-secrets with reviewdog,reviewdog,  run detect secrets with reviewdog on pull requests to improve code review experience,5.0,False,security;code review
slither-static-analysis,luisfontes19,run slither static analyser for solidity smart contracts,4.0,False,code review;security
organization workflow action,svanboxel,action to register organization workflow,41.0,False,code review;security
synopsys polaris sast check,loadbalancerorg,polaris sast runner,1.0,False,security;code review
check critical files,codelytv,check for critical files in your commits and warns you,18.0,False,security;code review
brakeman action,artplan1,github action to run brakeman static analysis which checks ruby on rails applications for security vulnerabilities,1.0,False,security;code review
golang-security-action,ynniss,run gosec and scan your golang code  on specific events like push or pull request,6.0,False,security;code review
codeguru reviewer,aws-actions,aws codeguru reviewer action,13.0,True,code review;security
kiuwan delivery analysis,lsacera,run kiuwan delivery analysis on the selected set of code,1.0,False,security;code review
sast-scan,appthreat,sast scan is a free and open source static analysis security testing  sast  tool for a range of languages,4.0,False,security;code review
terraform security scan,triat,scan your terraform code with tfsec,79.0,False,security;code review
gitguardian shield action,gitguardian,scan commits for secrets and other issues,253.0,False,security;code review
swift api diff,ltetzlaff,comment changes in public interfaces on github pull requests,6.0,False,code review;dependency management
add an attention label to an open pull request,crazymanish,add need review attention label to an open pull request after 4 days,0.0,False,code review;dependency management
monorepo pr repo labeler,adamzolyak,monorepo pr repo labeler,59.0,False,code review;dependency management
highlight new npm dependencies,hiwelo,add a message in pull request with basic information when new dependencies are added,10.0,False,code review;dependency management
pull request comment trigger,khan,look for a  trigger word  in a pull request description or comment  so that later steps can know whether or not to run,96.0,False,code review;deployment
pr comment from file,machine-learning-apps,leaves a comment on an open pr based on the contents of a file,18.0,False,code review;deployment
pull request dependency checkout,sreimers,this action checks if there is a pull request in the repo with the same title,0.0,False,dependency management;code review
loxcan,siketyan,universal lock file scanner for git,23.0,False,dependency management;code review
yarn lock changes,simek,creates a comment inside pull request with the human readable summary of the changes to the  yarn lock  file,86.0,False,dependency management;code review
microsoft teams deploy card,toko-bifrost,notify your teams channel with a beautiful  comprehensive deployment card,41.0,False,code review;deployment
bundler leak action,andrewmcodes,github action for running bundler leak,0.0,False,code review;dependency management
heroku review app deployment status,niteoweb,a github action to test the deployment status of a heroku review app,12.0,False,code review;deployment
approved-event,taichi,export approved state to environment variables,9.0,False,code review;deployment
php-ga.composer-require-checker,php-ga,composer require checker,2.0,False,code review;dependency management
shopify theme actions,matthew-petrie,a set of github actions to enable fast shopify theme development workflows,10.0,False,deployment;code review
post kubernetes loadbalancer,smartsquaregmbh,this action can be used to post the address of a kubernetes loadbalancer on a pull request,0.0,False,deployment;code review
append github pr description,chabroa,append the provided deployment url to github pull request description,0.0,False,code review;deployment
aws s3 preview deployment,barecheck,github action generates code coverage reports,0.0,False,deployment;code review
pr sentry id lint,ajai-sandy,github action for automatically adding sentry id on pull requests title,0.0,False,code review;deployment
github action for danger-swift + swiftlint,417-72ki,runs danger swift with swiftlint,4.0,False,mobile ci;code review
pr changelog generator,bala-raj,github action that creates a changelog on opening or updating the pr,1.0,False,code review;reporting
assign pr author as assignee,itsoliverbott,github action for auto assigning author of pr as the assignee,1.0,False,code review
check page title & description,delsinvg,this is an action to check if the page has a title or description,0.0,False,code review
check hreflang tag,delsinvg,this action checks whether a multilingual website has a hreflang tag,0.0,False,code review
check robots.txt,delsinvg,this action checks whether the website has a robots txt,0.0,False,code review
run misspell with reviewdog,reviewdog,  run misspell with reviewdog on pull requests to improve code review experience,38.0,False,code review;code quality
reviews count,github-actions-tools,get pull request reviews count by state kind,0.0,False,code review;continuous integration
flake8 with annotations,truebrain,flake8 with annotations for pull request,14.0,False,code review;code quality
contextual qa checklists,wyozi,submit a comment to prs with a qa checklist based on context,11.0,False,code review;code quality
run staticcheck with reviewdog,reviewdog,  run staticcheck with reviewdog on pull requests to improve code review experience,10.0,False,code review;code quality
barecheck - code coverage,barecheck,github action generates code coverage reports,9.0,False,code quality;code review
luacheck for fivem,goatg33k,runs luacheck on a project with fivem natives,9.0,False,code quality;code review
verify changed files,tj-actions,find files that were modified during workflow execution,11.0,False,code search;code review
clang-format check,jidicula,use clang format to see if your c c   code is formatted according to project guidelines,13.0,False,code quality;code review
run ansible-lint with reviewdog,reviewdog,  run ansible lint with reviewdog on pull requests to improve code review experience,4.0,False,code review;code quality
run pyright,jakebailey,run pyright,4.0,False,code quality;code review
report lcov,zgosalvez,report the code coverage from lcov files,5.0,False,code quality;code review
github action for formating hcl files,devops-infra,github action automatically formatting all hcl and tf files,4.0,False,continuous integration;code review
twig dump checker,ajakov,checks for accidental dump in twig files,4.0,False,code search;code review
github rubocop action,luizfonseca,runs rubocop on your prs   ,4.0,False,code review;code quality
run phpstan with reviewdog,genealabs,  run php static analyzer with reviewdog,2.0,False,code quality;code review
run pyright with reviewdog,jordemort,  run pyright on pull requests and get reviews with reviewdog,3.0,False,code review
dco-check,tim-actions,a github action that verifies commits in pull request all include developer certificate of origin  dco  information,2.0,False,continuous integration;code review
glua linter,tassia710,lints your glua files and checks them for errors,1.0,False,code review;code quality
ispw-generate,bmc-compuware,run a generate in ispw,1.0,False,continuous integration;code review
action check typescript errors,arhia,check tsc errors and compare errors wih base branch,1.0,False,code quality;code review
run codenarc (static analysis for groovy) with reviewdog,asaasdev,  run codenarc with reviewdog on pull requests to improve code review experience,1.0,False,code quality;code review
code coverage-reporter,tj-actions,comments a pull request with code coverage report,1.0,False,code quality;code review
toml linter,yisonpylkita,lint all your toml files,1.0,False,code quality;code review
mantainer,covalentteam,congratulate short contribuitions to your repositories,1.0,False,code review
dprint-check-action,dprint,run  dprint check  on your source code,1.0,False,code quality;code review
ccdc file checks,ccdc-opensource,check changed files for compliance,0.0,False,code quality;code review
github action for pylint,cclauss,run pylint commands,13.0,False,code quality;code review
github action for pytest,cclauss,run pytest commands,41.0,False,code quality;code review
github action for helm templates validation,igabaydulin,checks if helm templates are valid,2.0,False,code review
rustfmt-check,loligothick,run rustfmt and annotate the diff with expected codes,0.0,False,code quality;code review
git changes,setare,check if any uncommitted changes are found on the current state of your repo,0.0,False,code review
run checkstyle (code standard) with reviewdog,asaasdev,  run checkstyle with reviewdog on pull requests to improve code review experience,0.0,False,code quality;code review
phpcs code anlaysis with reviewdog,genealabs,  run php codesniffer with reviewdog,0.0,False,code quality;code review
eslint runner action,tinovyatkin,run eslint in parallel of ci build,42.0,False,code quality;code review
phpunit for laravel,svikramjeet,run phpunit test suite using laravel framework,3.0,False,code quality;code review
automatic pull request review,andrewmusgrave,  github action to automate pull requests,13.0,False,open source management;code review
webpack stat reporter (packtracker.io),packtracker,report your webpack build stats to the packtracker io service,7.0,False,code review;reporting
run flake8 on your pr - with annotations!,tayfun,github action to run flake8 linter on your pull requests and add annotations on errors,17.0,False,code review;code quality
standard checks,cored,lint your ruby code with standard in parallel to your builds,0.0,False,code quality;code review
typescript compiler,icrawl,compile your typescript code and check for errors,20.0,False,code review;reporting
eslint (js/ts) action,icrawl,lints javascript typescript code,23.0,False,code review;reporting
haml lint action,andrewmcodes,a github action that lints your haml code with haml lint,1.0,False,code quality;code review
run credo with reviewdog,red-shirts,  run credo with reviewdog on pull requests to improve code review experience,13.0,False,code review;code quality
danger-textlint-actions,yuichielectric,this github action submits textlint review comments if there are violations,23.0,False,code review;continuous integration
pull request package labeler,csi-lk,dynamically label pull requests affecting packages in a monorepo   workspace,7.0,False,code review;code search
chattery,lukejacksonn,creates on demand chatrooms for pull requests,29.0,False,chat;code review
autopep8 action,creyd,automatically runs the autopep8 command on all your changes,0.0,False,code quality;code review
jest code coverage report,ziishaned,comments a pull request with the jest code coverage,36.0,False,code quality;code review
eslint checker,ninosaurus,check if changed files are properly formatted by the provided eslint rules,7.0,False,code quality;code review
lintly-flake8,grantmcconnaughey,lint python projects with flake8 and create pull request reviews with linting violations,17.0,False,code review;code quality
godoc action,ktr0731,automated godoc generator   publisher,6.0,False,code review
extract pull request metadata,rowi1de,extract pull request metadata,1.0,False,code review;code search
conventional-pr-title,aslafy-z,ensure your pr title matches the conventional commits spec  https   www conventionalcommits org  ,20.0,False,code quality;code review
run reek with reviewdog,reviewdog,  run reek with reviewdog on pull requests to improve code review experience,4.0,False,code review;code quality
kotlin linter,vroy,run ktlint in your repository,9.0,False,code quality;code review
php insights app,worksome,php insights app integration with github actions,5.0,False,code quality;code review
cloudformation lint action,ryof,cloudformation lint action using cfn lint,2.0,False,code quality;code review
php_codesniffer check with annotations,chekalsky,phpcs checker with auto annotations out of the box,41.0,False,code quality;code review
auto label action,banyan,add labels to pull request based on matched file patterns,56.0,False,code review;code search
autolabeler-codeowners,pratikmallya,automatically label prs based on codeowners,2.0,False,continuous integration;code review
lint nim with reviewdog,jiro4989,lint nim with reviewdog on pull requests to improve code review experience,9.0,False,code review;code quality
ganeshpl hello world,ganeshspatil,greet someone and record the time,0.0,False,continuous integration;code review
list pull requests,buildsville,list and put output pull requests,2.0,False,code review
gif guardian,jamsinclair,the silent but animated protector of pull requests  automatically label pull requests without gifs,1.0,False,code review;code quality
rebase-prs,mobileheadholding,rebase prs by entering    rebase   as a comment,1.0,False,continuous integration;code review
php vardump check action,umutphp,github action for finding forgotten variable dump in php projects,1.0,False,code quality;code review
phpmetrics action,umutphp,static analysis tool for php,0.0,False,code quality;code review
auto assign reviewer by assignee,shufo,assign a reviewer based on assignee,2.0,False,code review;continuous integration
php magic number check,umutphp,to check the repo if there is a magic number usage,2.0,False,code quality;code review
strivio,jainal09,checks codes of participants of the coding competetion,6.0,False,code review;continuous integration
run vimlint with reviewdog (alt),bb010g,  run vimlint with reviewdog on pull requests to improve code review experience,0.0,False,code review;code quality
phplint problem matcher,korelstar,shows php lint errors as annotation  with file and code line  in github actions,3.0,False,code review;reporting
xmllint problem matcher,korelstar,shows xmllint errors as annotation  with file and code line  in github actions,5.0,False,code review;reporting
check wip,embano1,checks for wip patterns in titles,0.0,False,code review;continuous integration
check commit,dragonwell-releng,check commit from file,1.0,False,code review;code quality
tsc actions,stepek,type checking typescript code,2.0,False,code quality;code review
yapf python code formatting check,alexandermelde,run yapf to check that your python code if correctly formatted,16.0,False,code review;continuous integration
unofficial resharper for github,glassechidna,turn resharper code inspections into github pr annotations,11.0,False,code quality;code review
iglu schema lint,mrchief,validate iglu json schemas for syntax errors,1.0,False,code quality;code review
potential conflicts checker,outsideris,check if this pull request can be conflict after other pull requests merged,7.0,False,code review
simple asset size,chrysanthos,find out how much of a change to your asset size a pr will have,8.0,False,code review;code quality
rubocop github action,prozsolt,github action for rubocop,0.0,False,code quality;code review
diff pages action,ssowonny,take screenshots of updated static web pages,13.0,False,code review;reporting
run pyspelling as a github action,sbates130272,run pyspelling on a repository to find spelling mistakes,1.0,False,code review;code quality
commentator-action,pratapaditya1997,comments dynamic message on your pull requests,0.0,False,code review
shame old prs,everphone-gmbh,a github action that shames prs that are open longer than a week,1.0,False,code review
base merger,junmo-kim,merge base branch into pull request by command,3.0,False,code review
lgtm approve,jonyhy96,approve the pr for you when the owner thinks lgtm,0.0,False,code review
include guards check,sbeyer,check for  include guards in c c   header files,2.0,False,code quality;code review
branch guardian,infamous-riddles,create and or delete branch protection rules based on a supplied branch pattern,8.0,False,code review;code quality
css analytics diff,projectwallace,take css and get the changes per css analytics metric,27.0,False,code quality;code review
clean-commit,ad1992,github action to prevent the user from writing bad git commit message,5.0,False,code review;code quality
pylint-and-format,itsvinayak,perform style checking on your python 3 using flake8 and formate code using black,4.0,False,code quality;code review
code review using misspell,moneyforward,analyze code statically using misspell in github actions,1.0,False,code review
action-php-codesniffer,tinovyatkin,runs php codesniffer on files changed in current pr or even only on lines by author of pr,7.0,False,code quality;code review
code review using querly,moneyforward,analyze code statically using querly in github actions,0.0,False,code review
code review using goodcheck,moneyforward,analyze code statically using goodcheck in github actions,0.0,False,code review
code review using jshint,moneyforward,analyze code statically using jshint in github actions,0.0,False,code review
code review using coffeelint,moneyforward,analyze code statically using coffeelint in github actions,0.0,False,code review
code review using stylelint,moneyforward,analyze code statically using stylelint in github actions,0.0,False,code review
code review using eslint,moneyforward,analyze code statically using eslint in github actions,3.0,False,code review
couscous generate,couscousphp,generate couscous io docs,10.0,False,continuous integration;code review
flake8 jupyter notebook,mhitza,runs code validation via flake8 for python code within jupyter notebooks,0.0,False,code quality;code review
auto approve dependabot,cognitedata,automatically approve dependabot pull requests,3.0,False,code review;open source management
pronto ruby by chargify,chargify,your all in one pronto ruby code review automation  forked by chargify to leverage newest rubocop,0.0,False,code review;code quality
sort problem matcher,codespell-project,shows gnu sort errors as annotation  with file and code line  in github actions,0.0,False,code review;continuous integration
reginald - a pull-request review bot,alephao,automate your pull request review,7.0,False,code review;open source management
sonarqube code scanner,monstar-lab-oss,sonarqube is an automatic code review tool to detect bugs  vulnerabilities and code smells in your code,5.0,False,code quality;code review
gentoo-repoman,gentoo-monero,validate an ebuild repository using repoman,0.0,False,code review
pr bouncer,oncilla,bounce pull requests that are too big,2.0,False,code review
php-codesniffer,pipeline-components,php codesniffer by pipeline components,6.0,False,code quality;code review
add-pr-comment-action,nickatnight,comment on a pull request,0.0,False,code quality;code review
mql compile,fx31337,compiles mql programs,3.0,False,code quality;code review
dotnet-sonarcloud-analysis,spoland,run sonar scanner analysis on a dotnet core solution and collect opencover reports,0.0,False,code quality;code review
run coffeelint with reviewdog,reviewdog,  run coffeelint with reviewdog on pull requests to improve code review experience,0.0,False,code review;continuous integration
slack_notice,mida-hub,this github action is slack notice to reviewer when pull request review requested,1.0,False,code review;chat
run alex with reviewdog,reviewdog,  run alex with reviewdog on pull requests to improve code review experience,7.0,False,code review;code quality
dynamic checklist,vishalsinha21,analyze code and create a dynamic checklist  by commenting on pr,2.0,False,code review
python quality and format checker,konstruktoid,python linting and format checking using black  safety and flake8,4.0,False,code quality;code review
erb action,revans,a github action that lets you easily run erb linting for ruby on rails,0.0,False,code quality;code review
lcov-action,danielealbano,action to run lcov,1.0,False,code quality;code review
check-pr-branches,italojs,an action to check if my pr branches is allowed to merge,3.0,False,code review;continuous integration
check permission,sixleaveakkm,check provided token has given permission to repos,0.0,False,code review
sonarqube actions,achilleslinux,scan your code with sonarqube scanner to detect bugs  vulnerabilities and code smells in more than 25 programming languages,4.0,False,code quality;code review
changelog reminder,peterjgrainger,if there is not a changelog in the pr add a comment to remind the committer,11.0,False,code review
deepsource test coverage action,deepsourcelabs,github action that uploads test coverage reports to deepsource for the test coverage analyzer,16.0,False,code quality;code review
hashicorp's link checker,hashicorp,report broken links found in a given set of files,23.0,True,code review;code quality
sqlcheck action,yokawasa,automatically identify anti patterns in sql queries using sqlcheck,10.0,False,code quality;code review
assign me,alberthernandez,automatically adds you to the assignees in the pull request,1.0,False,code review
conventional commits pr,beemojs,validate a pull request title against a conventional commits preset,5.0,False,code review;continuous integration
check golang imports order,jerome1337,check imports order of your code using goimports,2.0,False,code quality;code review
pr-size-labelator,alexromer0,label a pull request based on number of lines modified,2.0,False,code review;code quality
